Año;T1;T2;T3;T4;TOTAL
2004;277;291;339;324;1231
2005;328;342;405;364;1439
2006;412;426;489;449;1776
2007;456;467;557;528;2008
2008;563;572;671;590;2396
2009;580;572;644;643;2439
2010;572;580;671;653;2476
2011;661;663;758;732;2814
2012;732;732;805;804;3073
2013;898;943;1054;1022;3917
2014;944;961;1045;957;3907
2015;999;1006;1100;1035;4140
2016;1013;1028;1165;1082;4288
2017;999;1077;1218;1145;4439
2018;1069;1085;1220;1131;4505
2019;1106;1160;1270;1168;4704
2020;882;26;26;69;1003
2021;134;158;290;460;1042
2022;487;712;871;868;2938
2023;713;835;1031;0;2579
